track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_m
low,pop,indie poptimism,0.781,0.456,0,-10.837,major,0.0431,0.82,0.786,0.0784,0.229,119.988,2.221116667
low,pop,indie poptimism,0.683,0.613,2,-6.478,major,0.0433,0.378,0.0424,0.119,0.42,116.911,3.04445
low,pop,indie poptimism,0.638,0.535,9,-7.792,minor,0.0415,0.623,0.0391,0.0837,0.504,84.947,4.62755
low,pop,indie poptimism,0.663,0.84,9,-5.618,minor,0.0453,0.00534,0.342,0.169,0.2,108.022,4.518933333
low,pop,indie poptimism,0.795,0.549,2,-7.791,major,0.088,0.135,0.000109,0.115,0.582,108.012,3.648766667
low,pop,indie poptimism,0.659,0.792,6,-7.101,minor,0.0301,0.0186,0.0405,0.102,0.466,108.009,4.352216667
low,pop,indie poptimism,0.713,0.547,8,-9.181,minor,0.0441,0.7,0.798,0.167,0.118,119.981,5.6543
low,pop,indie poptimism,0.613,0.427,8,-8.324,major,0.221,0.889,0.0279,0.129,0.467,82.523,3.268983333
low,pop,indie poptimism,0.627,0.633,10,-7.41,minor,0.0305,0.133,7.07E-05,0.216,0.763,85.999,3.234216667
low,pop,indie poptimism,0.714,0.373,6,-12.269,minor,0.234,0.711,0.0373,0.134,0.082,103.967,2.49685
low,pop,indie poptimism,0.766,0.825,10,-5.266,minor,0.0706,0.0498,0.000137,0.104,0.583,98.007,5.142816667
low,pop,indie poptimism,0.688,0.177,8,-14.061,minor,0.0507,0.454,0.626,0.376,0.316,79.994,3.2
low,pop,indie poptimism,0.681,0.484,1,-9.978,major,0.0563,0.641,0.00631,0.115,0.646,143.044,3.5126
low,pop,indie poptimism,0.811,0.406,7,-9.418,minor,0.0458,0.629,0.845,0.107,0.367,92.097,2.353116667
low,pop,indie poptimism,0.8,0.427,6,-7.923,major,0.0346,0.584,0.0371,0.104,0.218,113.975,4.787133333
low,pop,indie poptimism,0.802,0.607,11,-11.028,minor,0.289,0.205,0.000748,0.246,0.274,96.916,4.364683333
high,pop,indie poptimism,0.639,0.744,6,-8.377,minor,0.0368,0.0319,0.000458,0.466,0.825,128.047,4.008883333
low,pop,indie poptimism,0.77,0.729,9,-5.775,minor,0.0306,0.292,0.000268,0.151,0.841,115.032,3.936216667
low,pop,indie poptimism,0.647,0.534,4,-5.439,minor,0.0279,0.011,0.000249,0.104,0.673,96.98,3.128666667
low,pop,indie poptimism,0.836,0.699,5,-3.235,major,0.179,0.114,0,0.13,0.818,94.092,4.56355
low,pop,indie poptimism,0.857,0.658,0,-9.8,major,0.0388,0.015,0.266,0.105,0.703,122.969,3.953783333
low,pop,indie poptimism,0.673,0.356,3,-10.683,minor,0.0365,0.503,0.814,0.111,0.145,81.008,3.024683333
low,pop,indie poptimism,0.718,0.471,7,-11.139,major,0.04,0.567,0.576,0.102,0.569,80.025,6.13155
low,pop,indie poptimism,0.647,0.198,8,-12.563,major,0.0777,0.114,0.867,0.0979,0.272,80.01,1.802083333
low,pop,indie poptimism,0.596,0.784,3,-6.723,minor,0.033,0.0642,0.139,0.216,0.432,162.019,3.5586
low,pop,indie poptimism,0.506,0.61,4,-11.224,minor,0.0407,0.00775,0.0938,0.18,0.382,147.455,3.701766667
low,pop,indie poptimism,0.778,0.442,6,-13.244,minor,0.118,0.445,0.819,0.243,0.934,155.649,2.4
low,pop,indie poptimism,0.376,0.681,6,-9.398,minor,0.244,0.397,0,0.134,0.44,95.123,3.508333333
low,pop,indie poptimism,0.593,0.563,9,-6.409,minor,0.0326,0.161,1.66E-05,0.0675,0.141,108.014,3.171966667
low,pop,indie poptimism,0.944,0.514,5,-7.895,major,0.195,0.0684,0.00209,0.103,0.331,120.004,4.613083333
low,pop,indie poptimism,0.842,0.679,1,-5.876,major,0.0853,0.776,0,0.0891,0.918,137.196,3.289116667
low,pop,indie poptimism,0.674,0.713,6,-7.46,minor,0.036,0.0733,0.139,0.169,0.704,111.017,3.076666667
low,pop,indie poptimism,0.625,0.398,9,-10.218,minor,0.0338,0.279,0.747,0.0893,0.265,86.992,4.447
low,pop,indie poptimism,0.595,0.352,5,-10.422,minor,0.0326,0.596,3.43E-05,0.0855,0.0712,130.11,3.002
low,pop,indie poptimism,0.771,0.29,10,-13.413,minor,0.0341,0.323,0.0316,0.0645,0.192,118.003,5.059766667
low,pop,indie poptimism,0.713,0.459,10,-8.12,minor,0.405,0.215,0.203,0.303,0.402,175.242,2.306783333
low,pop,indie poptimism,0.706,0.316,6,-8.127,minor,0.0602,0.497,0.617,0.189,0.459,78.965,3.9011
low,pop,indie poptimism,0.772,0.413,6,-7.32,minor,0.0362,0.114,0.839,0.112,0.339,92.997,4.433333333
low,pop,indie poptimism,0.486,0.48,1,-8.643,major,0.0262,0.772,0.802,0.09,0.215,107.282,3.316916667
low,pop,indie poptimism,0.761,0.6,7,-7.348,major,0.0765,0.269,0.864,0.108,0.557,96.015,3.317266667
low,pop,indie poptimism,0.471,0.466,7,-11.466,minor,0.0469,0.183,0.725,0.121,0.104,102.988,5.402166667
low,pop,indie poptimism,0.79,0.675,11,-6.952,minor,0.319,0.166,1.36E-05,0.103,0.363,90.961,4.269966667
high,pop,indie poptimism,0.569,0.645,5,-7.368,major,0.0387,0.118,0.00114,0.146,0.247,74.985,3.784666667
low,pop,indie poptimism,0.35,0.476,5,-10.653,major,0.034,0.765,0.0039,0.0785,0.293,171.938,5.249783333
low,pop,indie poptimism,0.745,0.344,9,-11.841,minor,0.0302,0.671,0.607,0.129,0.24,99.997,4.253583333
low,pop,indie poptimism,0.728,0.48,8,-9.599,major,0.0349,0.589,0.49,0.102,0.0943,127.999,2.573383333
low,pop,indie poptimism,0.839,0.536,2,-10.304,minor,0.0682,0.361,0.922,0.0879,0.124,115.03,4.2308
low,pop,indie poptimism,0.746,0.451,9,-9.065,minor,0.146,0.181,0.892,0.0751,0.186,127.958,2.727166667
low,pop,indie poptimism,0.803,0.662,0,-8.073,major,0.0308,0.642,0.901,0.151,0.814,105.012,3.417483333
low,pop,indie poptimism,0.389,0.518,0,-11.343,minor,0.0571,0.00861,0.275,0.144,0.44,90.017,3.733333333
low,pop,indie poptimism,0.686,0.373,11,-16.007,minor,0.118,0.532,0.926,0.075,0.203,83.203,2.6
low,pop,indie poptimism,0.686,0.332,9,-11.759,major,0.0454,0.89,0.342,0.107,0.0745,80.994,3.950616667
low,pop,indie poptimism,0.693,0.67,11,-8.863,minor,0.0425,0.388,0.772,0.152,0.725,145.01,4.12705
low,pop,indie poptimism,0.752,0.584,7,-10.634,major,0.275,0.364,0.017,0.197,0.264,94.918,3.293333333
low,pop,indie poptimism,0.775,0.298,7,-13.01,major,0.314,0.913,0.00626,0.108,0.139,89.975,3.684866667
low,pop,indie poptimism,0.677,0.839,0,-6.712,major,0.0338,0.0851,0.842,0.0791,0.555,102.997,3.592
low,pop,indie poptimism,0.697,0.433,7,-9.822,minor,0.052,0.614,0.042,0.0901,0.266,148.087,4.164116667
low,pop,indie poptimism,0.733,0.861,6,-5.445,major,0.13,0.00582,5.00E-05,0.0583,0.633,120.015,3.81465
low,pop,indie poptimism,0.683,0.658,5,-5.46,minor,0.0293,0.0874,0.000487,0.133,0.507,96.99,3.8087
low,pop,indie poptimism,0.715,0.246,5,-17.751,major,0.0448,0.293,0.896,0.382,0.148,84.009,2.666666667
low,pop,indie poptimism,0.769,0.546,0,-8.27,minor,0.0387,0.645,0.000231,0.0948,0.603,120.22,4.060016667
low,pop,indie poptimism,0.846,0.377,10,-13.698,minor,0.169,0.385,0.847,0.0409,0.606,100.028,3.270533333
low,pop,indie poptimism,0.819,0.185,6,-19.975,major,0.11,0.908,0.612,0.387,0.705,153.045,2.822416667
low,pop,indie poptimism,0.636,0.474,5,-8.096,major,0.077,0.784,0.0613,0.113,0.571,167.064,3.239333333
low,pop,indie poptimism,0.342,0.609,8,-5.68,major,0.0943,0.185,0.00052,0.0799,0.401,82.989,4.359916667
low,pop,indie poptimism,0.892,0.685,10,-4.906,minor,0.072,0.301,0.000744,0.0775,0.61,95.958,4.384833333
low,pop,indie poptimism,0.773,0.811,8,-7.373,major,0.233,0.522,0.105,0.135,0.609,91.777,3.55885
low,pop,indie poptimism,0.562,0.68,2,-6.966,minor,0.437,0.668,2.88E-06,0.255,0.499,169.28,4.394883333
low,pop,indie poptimism,0.871,0.472,4,-11.077,major,0.0756,0.74,0.286,0.145,0.707,124.04,2.678666667
low,pop,indie poptimism,0.661,0.515,2,-9.39,minor,0.0806,0.166,0.0679,0.125,0.727,185.132,3.450816667
low,pop,indie poptimism,0.774,0.782,6,-4.906,minor,0.14,0.623,0.19,0.121,0.665,90.831,3.196366667
low,pop,indie poptimism,0.623,0.647,10,-7.511,minor,0.0301,0.022,0.00108,0.109,0.277,107.996,3.2549
low,pop,indie poptimism,0.545,0.833,7,-4.6,major,0.153,0.0047,1.42E-05,0.0745,0.741,149.937,3.388083333
low,pop,indie poptimism,0.709,0.496,1,-10.528,minor,0.0417,0.581,0.195,0.151,0.469,78.477,3.02645
low,pop,indie poptimism,0.635,0.537,6,-10.45,minor,0.0536,0.014,3.72E-05,0.103,0.885,117.942,3.299116667
low,pop,indie poptimism,0.824,0.75,10,-7.646,minor,0.0477,0.177,0.0356,0.0705,0.705,116.005,3.356266667
low,pop,indie poptimism,0.67,0.139,1,-11.068,major,0.0725,0.928,0.949,0.0947,0.658,91.054,2.459733333
low,pop,indie poptimism,0.681,0.407,5,-12.366,minor,0.0297,0.512,0.00753,0.111,0.294,109.979,4.65955
low,pop,indie poptimism,0.505,0.674,2,-3.918,major,0.0304,0.103,0,0.723,0.332,120.164,3.610283333
low,pop,indie poptimism,0.71,0.736,5,-4.38,minor,0.0347,0.107,5.98E-06,0.068,0.746,130.985,3.186166667
low,pop,indie poptimism,0.582,0.938,1,-5.73,minor,0.0392,0.000744,0.0206,0.0841,0.794,113.994,5.24145
low,pop,indie poptimism,0.39,0.618,2,-8.14,major,0.0409,0.0914,0.0594,0.0835,0.115,105.585,3.98355
low,pop,indie poptimism,0.799,0.58,0,-8.152,minor,0.0891,0.47,0.000183,0.154,0.601,95.039,3.479116667
low,pop,indie poptimism,0.583,0.677,4,-10.21,minor,0.439,0.47,0.193,0.43,0.495,176.119,3.781766667
high,pop,indie poptimism,0.577,0.756,2,-5.82,major,0.115,0.159,0.000232,0.249,0.663,176.75,3.352883333
low,pop,indie poptimism,0.763,0.327,9,-7.563,major,0.031,0.364,0.866,0.124,0.556,114.014,4.473966667
low,pop,indie poptimism,0.818,0.562,10,-7.779,minor,0.0356,0.0987,0.813,0.355,0.57,125.03,4.065766667
low,pop,indie poptimism,0.847,0.552,10,-8.85,minor,0.433,0.53,0.000235,0.15,0.337,91.874,2.7694
low,pop,indie poptimism,0.693,0.695,5,-8.435,major,0.0446,0.192,0.000925,0.489,0.553,120.015,3.560233333
low,pop,indie poptimism,0.774,0.673,5,-6.473,minor,0.035,0.22,0.583,0.0973,0.917,126.016,3.500666667
low,pop,indie poptimism,0.81,0.818,8,-9.599,minor,0.0511,0.343,0.0548,0.113,0.887,119.982,3.66005
low,pop,indie poptimism,0.57,0.293,0,-13.768,major,0.0293,0.237,0.00112,0.132,0.104,120.963,4.09655
low,pop,indie poptimism,0.684,0.58,1,-9.947,major,0.148,0.000479,0.000216,0.113,0.212,123.954,3.234883333
low,pop,indie poptimism,0.566,0.675,9,-8.063,major,0.0305,0.000603,0.0134,0.0757,0.385,139.981,4.40015
low,pop,indie poptimism,0.849,0.49,11,-9.558,major,0.0445,0.0256,0.00059,0.738,0.503,118.011,2.90095
low,pop,indie poptimism,0.809,0.459,0,-8.454,major,0.126,0.338,0,0.354,0.213,136.923,3.0365
low,pop,indie poptimism,0.562,0.693,0,-8.183,major,0.0383,0.427,0,0.142,0.678,144.971,3.4069
low,pop,indie poptimism,0.573,0.865,9,-7.289,major,0.0397,0.000376,0.627,0.534,0.96,129.983,2.834616667
low,pop,indie poptimism,0.868,0.493,1,-10.155,minor,0.0695,0.0876,0.000618,0.0541,0.652,108.016,3.03955
low,pop,indie poptimism,0.566,0.737,0,-6.86,major,0.0339,0.157,0.762,0.208,0.138,120.039,3.825783333
low,pop,indie poptimism,0.626,0.469,7,-11.565,major,0.049,0.775,0.000156,0.11,0.333,132.431,5.252016667
low,pop,indie poptimism,0.565,0.786,2,-3.485,minor,0.252,0.26,4.16E-06,0.366,0.516,160.02,2.686666667
low,pop,indie poptimism,0.545,0.635,5,-6.57,major,0.0354,0.019,6.97E-05,0.0995,0.349,117.038,4.109883333
low,pop,indie poptimism,0.795,0.83,6,-5.491,major,0.0343,0.13,5.34E-05,0.0806,0.824,119.98,2.87155
low,pop,indie poptimism,0.421,0.157,0,-10.413,major,0.0362,0.448,0,0.149,0.217,92.153,2.61595
low,pop,indie poptimism,0.553,0.578,11,-7.745,minor,0.304,0.0363,0,0.4,0.417,85.951,2.292683333
low,pop,indie poptimism,0.494,0.216,6,-11.701,major,0.0342,0.816,0.00103,0.102,0.254,121.03,3.440666667
low,pop,indie poptimism,0.71,0.596,1,-7.454,minor,0.0328,0.126,0.126,0.138,0.593,145.91,3.33885
low,pop,indie poptimism,0.743,0.63,7,-5.665,major,0.0529,0.0187,0.818,0.14,0.159,139.986,2.371433333
low,pop,indie poptimism,0.652,0.456,11,-12.988,major,0.0354,0.562,9.38E-05,0.12,0.124,132.056,3.54545
low,pop,indie poptimism,0.786,0.288,4,-16.449,major,0.104,0.587,0,0.524,0.392,102.635,3.27805
low,pop,indie poptimism,0.686,0.66,11,-8.458,major,0.0322,0.405,0.0892,0.108,0.322,96.975,2.8941
low,pop,indie poptimism,0.633,0.212,3,-12.092,major,0.0327,0.825,0.0264,0.106,0.0454,110.066,4.618183333
low,pop,indie poptimism,0.492,0.656,3,-8.495,minor,0.0373,0.204,0.0928,0.114,0.487,141.997,3.022466667
low,pop,indie poptimism,0.701,0.83,0,-4.843,major,0.0329,0.107,0.000191,0.652,0.881,122.01,3.131766667
low,pop,indie poptimism,0.399,0.482,9,-7.74,minor,0.278,0.423,0,0.192,0.068,79.503,3.651933333
low,pop,indie poptimism,0.608,0.623,9,-7.84,major,0.146,0.0851,0,0.0888,0.671,91.689,3.824983333
low,pop,indie poptimism,0.585,0.29,7,-14.767,major,0.143,0.556,1.17E-05,0.308,0.305,158.021,3.735883333
low,pop,indie poptimism,0.792,0.798,1,-5.146,major,0.0544,0.0486,0.000166,0.0815,0.722,129.979,2.815333333
low,pop,indie poptimism,0.713,0.275,5,-10.296,minor,0.0312,0.0414,8.61E-05,0.193,0.511,94.964,3.60195
low,pop,indie poptimism,0.732,0.947,5,-3.334,minor,0.141,0.187,0.000612,0.105,0.572,100.014,4.249583333
low,pop,indie poptimism,0.666,0.445,9,-6.66,minor,0.0367,0.149,1.51E-06,0.0939,0.293,115.992,3.20705
low,pop,indie poptimism,0.63,0.37,1,-16.921,minor,0.0642,0.721,0.722,0.203,0.158,130.045,3.54135
low,pop,indie poptimism,0.326,0.396,4,-8.936,major,0.0324,0.862,8.99E-05,0.109,0.0614,86.943,2.625
low,pop,indie poptimism,0.703,0.687,8,-8.334,major,0.12,0.265,1.15E-06,0.306,0.557,139.786,3.4915
low,pop,indie poptimism,0.544,0.679,7,-8.695,major,0.0791,0.229,0.000169,0.508,0.416,118.907,3.859983333
low,pop,indie poptimism,0.731,0.53,1,-7.498,major,0.29,0.0433,0,0.192,0.587,99.011,2.800766667
low,pop,indie poptimism,0.828,0.677,1,-7.266,minor,0.0467,0.32,0,0.384,0.867,119.993,2.4756
low,pop,indie poptimism,0.629,0.603,1,-10.903,major,0.0444,0.0132,0.000115,0.0765,0.396,119.986,4.2
low,pop,indie poptimism,0.855,0.698,7,-6.987,major,0.285,0.177,0,0.442,0.54,138.522,3.494583333
low,pop,indie poptimism,0.708,0.667,2,-7.328,major,0.0587,0.512,0,0.137,0.525,160.004,3.75
low,pop,indie poptimism,0.573,0.406,10,-8.788,major,0.0446,0.527,0,0.117,0.213,161.829,3.051483333
low,pop,indie poptimism,0.811,0.383,1,-9.621,major,0.126,0.603,1.13E-06,0.173,0.424,118.027,3.380666667
low,pop,indie poptimism,0.491,0.673,4,-10.568,minor,0.0287,0.186,0,0.369,0.681,88.139,2.784083333
low,pop,indie poptimism,0.512,0.328,7,-11.939,major,0.0338,0.867,0.0208,0.143,0.0729,78.017,5.055216667
low,pop,indie poptimism,0.791,0.554,2,-9.998,minor,0.0399,0.322,1.50E-05,0.0784,0.649,113.98,3.315783333
low,pop,indie poptimism,0.801,0.765,2,-5.386,major,0.0359,0.0262,0.0336,0.207,0.338,115.971,3.655983333
low,pop,indie poptimism,0.502,0.501,5,-9.42,major,0.0343,0.342,7.29E-06,0.115,0.685,77.571,3.14825
low,pop,indie poptimism,0.676,0.745,11,-6.049,minor,0.0378,0.0711,0.00375,0.0869,0.613,125.973,3.34665
low,pop,indie poptimism,0.455,0.51,1,-10.02,major,0.0488,0.523,0.0761,0.0826,0.0368,100.145,4.237616667
low,pop,indie poptimism,0.87,0.38,4,-10.061,minor,0.0511,0.0912,0.00266,0.173,0.73,120.038,3.358016667
low,pop,indie poptimism,0.445,0.28,2,-8.487,minor,0.0313,0.609,0,0.149,0.0659,123.828,4.712883333
low,pop,indie poptimism,0.782,0.322,8,-12.371,major,0.0443,0.673,0.00014,0.0806,0.359,119.941,3.266666667
low,pop,indie poptimism,0.693,0.572,8,-8.89,major,0.0746,0.127,0.953,0.102,0.732,130.048,2.67765
low,pop,indie poptimism,0.73,0.493,7,-7.656,major,0.0419,0.201,7.11E-05,0.0562,0.374,105.036,2.787133333
low,pop,indie poptimism,0.622,0.616,0,-8.314,major,0.0385,0.282,0.669,0.215,0.392,92.294,4.15
low,pop,indie poptimism,0.869,0.706,9,-6.795,minor,0.0903,0.135,2.12E-05,0.0534,0.564,116.032,3.047083333
low,pop,indie poptimism,0.628,0.832,6,-2.914,minor,0.0514,0.0178,0,0.135,0.389,139.605,3.114283333
low,pop,indie poptimism,0.463,0.468,10,-13.548,major,0.0471,0.0361,3.08E-06,0.132,0.216,90.116,3.24305
low,pop,indie poptimism,0.36,0.221,2,-12.601,minor,0.0345,0.798,3.73E-06,0.143,0.294,143.688,4.281583333
low,pop,indie poptimism,0.857,0.757,6,-4.739,major,0.0503,0.159,0.00765,0.0977,0.374,106.985,2.8785
low,pop,indie poptimism,0.38,0.333,9,-10.511,minor,0.0354,0.709,0.000766,0.365,0.0377,110.298,4.509083333
low,pop,indie poptimism,0.213,0.693,5,-4.868,major,0.0492,0.615,0.000108,0.192,0.134,165.571,4
low,pop,indie poptimism,0.466,0.74,10,-9.027,major,0.0593,0.0357,0.00249,0.111,0.0887,177.896,4.539333333
low,pop,indie poptimism,0.568,0.365,10,-8.463,minor,0.0345,0.804,0,0.127,0.288,120.05,3.8028
low,pop,indie poptimism,0.61,0.438,0,-6.166,major,0.0274,0.713,2.35E-05,0.111,0.141,147.94,2.613783333
low,pop,indie poptimism,0.83,0.349,0,-14.625,major,0.0559,0.108,0.803,0.0961,0.327,128.975,2.8741
low,pop,indie poptimism,0.604,0.482,7,-11.862,major,0.0247,0.782,0.883,0.121,0.217,81.968,2.9875
low,pop,indie poptimism,0.619,0.65,6,-8.56,minor,0.0489,0.102,0.000248,0.143,0.391,94.013,3.808516667
low,pop,indie poptimism,0.736,0.826,9,-4.886,minor,0.0849,0.000337,0.00744,0.0441,0.864,123.953,3.924733333
low,pop,indie poptimism,0.653,0.411,7,-8.913,minor,0.12,0.427,0,0.108,0.127,142.527,3.6772
low,pop,indie poptimism,0.741,0.699,9,-6.718,major,0.0746,0.305,0,0.3,0.728,147.127,2.698166667
low,pop,indie poptimism,0.776,0.461,1,-9.774,major,0.115,0.01,5.28E-05,0.408,0.717,109.977,2.292583333
low,pop,indie poptimism,0.599,0.55,5,-7.271,major,0.0324,0.354,5.96E-05,0.149,0.385,91.982,2.864216667
low,pop,indie poptimism,0.814,0.382,4,-8.75,minor,0.282,0.556,0.0395,0.1,0.278,79.03,3.107616667
low,pop,indie poptimism,0.668,0.632,8,-5.879,minor,0.0523,0.0728,0.00032,0.39,0.448,115.991,4.642216667
low,pop,indie poptimism,0.581,0.272,10,-8.511,minor,0.0418,0.883,0,0.0745,0.545,144.212,3.372416667
low,pop,indie poptimism,0.784,0.324,4,-9.001,major,0.0356,0.885,0,0.101,0.65,103.027,2.726783333
low,pop,indie poptimism,0.813,0.683,9,-3.394,minor,0.0393,0.621,1.48E-05,0.0909,0.72,108.013,3.5
low,pop,indie poptimism,0.837,0.61,0,-6.497,major,0.146,0.304,8.30E-06,0.0785,0.842,147.086,2.7486
low,pop,indie poptimism,0.774,0.58,4,-8.278,minor,0.0282,0.758,4.76E-05,0.126,0.788,125.956,2.842316667
low,pop,indie poptimism,0.889,0.416,0,-9.546,major,0.0443,0.606,6.97E-06,0.143,0.452,115.989,2.791783333
low,pop,indie poptimism,0.551,0.304,1,-11.5,minor,0.0637,0.612,0,0.228,0.115,150.003,3.385333333
low,pop,indie poptimism,0.672,0.678,7,-6.759,major,0.145,0.0981,0,0.185,0.309,94.111,2.747333333
low,pop,indie poptimism,0.647,0.613,5,-8.241,minor,0.0441,0.0106,7.97E-05,0.648,0.27,130.042,2.769233333
low,pop,indie poptimism,0.459,0.238,9,-8.049,major,0.034,0.89,0,0.0948,0.163,69.456,3.699766667
low,pop,indie poptimism,0.542,0.169,0,-13.416,major,0.0586,0.78,0,0.11,0.411,108.764,3.251533333
low,pop,indie poptimism,0.599,0.636,0,-5.944,major,0.0584,0.0762,0,0.295,0.531,164.078,3.030983333
low,pop,indie poptimism,0.806,0.353,0,-12.134,major,0.0366,0.845,0.000193,0.137,0.0391,98.024,4.385916667
low,pop,indie poptimism,0.679,0.507,3,-6.215,major,0.0302,0.735,0,0.114,0.4,128.006,3.945316667
low,pop,indie poptimism,0.625,0.542,11,-11.242,minor,0.0656,0.172,0.373,0.104,0.346,74.467,4.203333333
low,pop,indie poptimism,0.885,0.862,1,-4.548,major,0.0472,0.026,0.00477,0.0947,0.709,104.971,2.476183333
low,pop,indie poptimism,0.276,0.499,1,-6.017,major,0.0315,0.842,0.311,0.194,0.0438,117.597,3.333333333
low,pop,indie poptimism,0.545,0.359,11,-11.6,minor,0.0297,0.692,3.47E-06,0.114,0.32,134.87,5.44445
low,pop,indie poptimism,0.535,0.866,10,-6.434,minor,0.0556,0.0156,0.835,0.115,0.0359,120.016,3.933333333
low,pop,indie poptimism,0.3,0.36,1,-9.111,major,0.0319,0.455,0.000145,0.194,0.145,180.403,2.675
low,pop,indie poptimism,0.319,0.536,0,-5.857,major,0.0478,0.376,0.269,0.408,0.223,75.984,3.168666667
low,pop,indie poptimism,0.712,0.16,0,-16.395,minor,0.159,0.93,2.05E-05,0.0742,0.413,131.557,2.2284
low,pop,indie poptimism,0.663,0.237,10,-15.844,minor,0.0506,0.892,0.304,0.0788,0.236,74.97,2.213333333
low,pop,indie poptimism,0.745,0.299,6,-7.64,major,0.0354,0.674,2.23E-06,0.291,0.306,94.95,3.649533333
low,pop,indie poptimism,0.762,0.53,9,-7.163,minor,0.0501,0.348,2.40E-05,0.0985,0.323,129.989,2.710083333
low,pop,indie poptimism,0.729,0.57,10,-7.047,major,0.0554,0.388,0,0.111,0.687,93.125,2.968883333
low,pop,indie poptimism,0.595,0.687,4,-6.536,major,0.0486,0.216,0,0.107,0.508,94.73,3.910383333
low,pop,indie poptimism,0.529,0.579,9,-6.94,major,0.0518,0.0198,3.18E-06,0.103,0.46,76.991,3.528233333
low,pop,indie poptimism,0.671,0.763,8,-5.877,major,0.305,0.607,2.16E-05,0.495,0.469,149.87,3.385216667
low,pop,indie poptimism,0.714,0.663,8,-5.799,major,0.0694,0.145,0,0.264,0.64,95.497,3.43455
low,pop,indie poptimism,0.691,0.538,0,-9.952,major,0.103,0.246,0.163,0.178,0.329,99.972,3.044466667
low,pop,indie poptimism,0.652,0.833,10,-4.898,major,0.0392,0.00191,0.000536,0.122,0.231,116.043,4.087333333
low,pop,indie poptimism,0.85,0.551,0,-7.197,major,0.0572,0.0559,0,0.161,0.634,104.967,3.436733333
low,pop,indie poptimism,0.506,0.744,9,-3.605,major,0.042,0.0463,6.62E-06,0.52,0.396,76.056,3.92105
low,pop,indie poptimism,0.754,0.824,5,-2.453,minor,0.039,0.0506,7.92E-06,0.108,0.613,116.978,3.247866667
low,pop,indie poptimism,0.591,0.743,0,-4.245,minor,0.0456,0.0435,0.000731,0.362,0.251,160.019,3.465333333
low,pop,indie poptimism,0.244,0.645,5,-5.863,major,0.0456,0.00178,0.00574,0.301,0.529,183.577,3.13845
low,pop,indie poptimism,0.574,0.651,7,-7.585,major,0.046,0.346,0,0.149,0.368,140.017,2.901783333
low,pop,indie poptimism,0.394,0.505,7,-7.638,major,0.0473,0.312,0,0.268,0.255,109.446,3.11135
low,pop,indie poptimism,0.715,0.363,8,-8.265,major,0.0433,0.0348,0,0.0637,0.347,87.017,2.52775
low,pop,indie poptimism,0.786,0.384,5,-8.655,major,0.0651,0.072,0.00115,0.0484,0.77,137.935,3.519116667
low,pop,indie poptimism,0.606,0.775,0,-6.038,minor,0.04,0.0086,0.498,0.305,0.508,140.013,4.309116667
low,pop,indie poptimism,0.694,0.556,5,-6.763,major,0.14,0.501,0,0.103,0.547,99.972,3.030383333
low,pop,indie poptimism,0.843,0.797,11,-4.597,minor,0.0419,0.202,0.000117,0.0822,0.613,109.973,2.88
low,pop,indie poptimism,0.663,0.563,6,-8.072,major,0.309,0.483,0,0.0825,0.551,80.013,2.6625
low,pop,indie poptimism,0.63,0.561,0,-4.906,major,0.0369,0.0977,0.00023,0.058,0.492,90.932,3.209516667
low,pop,indie poptimism,0.284,0.609,3,-6.033,major,0.123,0.0438,0,0.177,0.521,85.386,3.279383333
low,pop,indie poptimism,0.466,0.781,1,-6.76,major,0.0567,0.000483,0.000141,0.0713,0.383,169.97,3.810216667
low,pop,indie poptimism,0.519,0.742,3,-3.554,major,0.061,0.315,8.42E-05,0.0836,0.246,127.971,4.25195
low,pop,indie poptimism,0.746,0.55,2,-9.68,major,0.0598,0.0311,0,0.126,0.522,97.018,3.064
low,pop,indie poptimism,0.667,0.302,4,-11.633,minor,0.0377,0.198,1.18E-05,0.101,0.239,81.966,3.573016667
low,pop,indie poptimism,0.766,0.394,0,-7.451,major,0.0637,0.0582,0.00523,0.279,0.816,160.079,2.111666667
low,pop,indie poptimism,0.828,0.349,6,-9.96,minor,0.17,0.647,1.57E-05,0.105,0.282,130.074,2.861583333
low,pop,indie poptimism,0.818,0.445,5,-7.467,minor,0.23,0.718,3.88E-05,0.108,0.423,95.944,3.5359
low,pop,indie poptimism,0.794,0.644,5,-5.522,major,0.0355,0.134,5.18E-05,0.182,0.788,146.032,3.454666667
low,pop,indie poptimism,0.571,0.752,3,-4.872,major,0.0293,0.0196,6.92E-05,0.114,0.25,102.043,3.215683333
low,pop,indie poptimism,0.626,0.475,8,-8.086,major,0.0666,0.124,0,0.092,0.424,84.035,2.964183333
low,pop,indie poptimism,0.711,0.412,9,-6.827,major,0.0445,0.184,0,0.0546,0.186,130.015,3.3923
low,pop,indie poptimism,0.757,0.614,4,-6.828,major,0.126,0.472,0,0.161,0.616,90.523,3.34775
low,pop,indie poptimism,0.53,0.411,2,-6.422,major,0.0328,0.589,0,0.106,0.193,103.409,3.566033333
low,pop,indie poptimism,0.832,0.738,0,-4.417,major,0.0783,0.258,1.49E-05,0.22,0.49,127.874,2.231266667
low,pop,indie poptimism,0.588,0.666,2,-6.467,minor,0.039,0.0905,0,0.0667,0.439,126.753,3.146216667
